Cat  #,Name    ,    Rx1,    Tx1, CTCSS, ArmCTCSS,    Rx2,    Tx2,    Rx3,    Tx3,APRS Config
61781U,AO-123  ,435.400,145.850,     67,       0,      0,      0,436.210,      0,
43017U,AO-91   ,145.960,435.250,     67,       0,      0,      0,145.960,      0,
40931U,IO-86   ,435.880,145.880,   88.5,       0,      0,      0,437.425,      0,
25544U,ISS     ,437.800,145.990,     67,       0,145.825,145.825,145.800,      0,RS0ISS
43678U,PO-101  ,145.900,437.500,  141.3,       0,      0,      0,145.900,      0,
27607U,SO-50   ,436.795,145.850,     67,    74.4,      0,      0,436.795,      0,
59112U,SONATE-2,0      ,      0,      0,       0,145.825,145.825,145.840,      0,DP0SNX
57172U,UmKA-1  ,437.625,      0,      0,       0,      0,      0,      0,      0,
33499U,KKS-1   ,437.445,      0,      0,       0,      0,      0,437.385,      0,
22825U,AO-27   ,436.795,145.850,      0,       0,      0,      0,      0,      0,
39417U,ZACube-1,437.355,145.860,      0,       0,      0,      0,      0,      0,
27844U,CUTE-I  ,437.470,      0,      0,       0,      0,      0,436.838,      0,
39430U,DOVE 4  ,      0,437.252,      0,       0,      0,      0,437.252,      0,
26931U,PCSat   ,145.827,      0,      0,       0,145.827,145.827,      0,      0,PE0SAT
40908U,LilacSat-2,437.200,144.350,    0,       0,144.390,144.390,437.200,    0,
57180U,Monitor3,435.290,     0,      0,       0,      0,      0,      0,      0,
33591U,NOAA 19 ,137.100,      0,      0,       0,      0,      0,      0,      0,
25338U,NOAA 15 ,      0,      0,      0,       0,      0,      0,137.620,      0,
57189U,VIZARD-meteo,437.825,  0,      0,       0,      0,      0,      0,      0,
